城市名 区/显 电影院名字 电影院主页url
阿拉善盟 阿拉善左旗 中影国际影城（财富广场店） https://maoyan.com/cinema/25142?poi=165815828
阿拉善盟 阿拉善左旗 太平洋电影院 https://maoyan.com/cinema/23959?poi=160766199
阿拉善盟 阿拉善左旗 太西摩天影都 https://maoyan.com/cinema/12200?poi=42553560
鞍山 海城市 万和国际影城 https://maoyan.com/cinema/9295?poi=1539645
鞍山 海城市 中影数字国际影城（同胜广场店） https://maoyan.com/cinema/26789?poi=191419771
鞍山 海城市 中影超达影城（龙水金帝店） https://maoyan.com/cinema/26257?poi=189909931
鞍山 海城市 天和环球影城 https://maoyan.com/cinema/24833?poi=165489714
鞍山 海城市 新东方国际影城 （新东方首府店） https://maoyan.com/cinema/26115?poi=189145143
鞍山 海城市 星美国际影商城（龙水金帝店） https://maoyan.com/cinema/13183?poi=41742450
鞍山 铁东区 中影国际影城（铁东新华店） https://maoyan.com/cinema/278?poi=1438051
鞍山 铁东区 中数联谊影城（天河店） https://maoyan.com/cinema/16068?poi=108658813
鞍山 铁东区 大地影院（新华银河影城） https://maoyan.com/cinema/1984?poi=1508558
鞍山 铁东区 中影国际影城（新玛特店） https://maoyan.com/cinema/279?poi=10026
鞍山 铁东区 金逸影城（鞍山万象汇店） https://maoyan.com/cinema/280?poi=1217410
鞍山 铁西区 佳兆业国际影城（鞍山店） https://maoyan.com/cinema/2651?poi=1571199
鞍山 铁西区 苏宁影城 https://maoyan.com/cinema/16234?poi=119973282
鞍山 铁西区 中影国际影城（铁西店） https://maoyan.com/cinema/9156?poi=4548044
鞍山 铁西区 嘎纳金影K https://maoyan.com/cinema/16450?poi=111741551
鞍山 台安县 台安华谊电影城 https://maoyan.com/cinema/11786?poi=4501180
鞍山 台安县 中影超达影城（台安店） https://maoyan.com/cinema/23908?poi=160351967
鞍山 岫岩满族自治县 岫岩华钠影城 https://maoyan.com/cinema/2285?poi=1498284
鞍山 岫岩满族自治县 岫岩星际影城 https://maoyan.com/cinema/24121?poi=162925367
鞍山 高新区 中国供销影城 https://maoyan.com/cinema/13199?poi=52469176
鞍山 高新区 恒大影城 https://maoyan.com/cinema/16887?poi=150437767
鞍山 立山区 金太狼影城 https://maoyan.com/cinema/24834?poi=165489917
安庆 迎江区 人民剧院 https://maoyan.com/cinema/690?poi=1438922
安庆 迎江区 星美国际影商城（绿地店） https://maoyan.com/cinema/687?poi=1438919
安庆 迎江区 星轶IMAX影城（安庆吾悦广场旗舰店） https://maoyan.com/cinema/16669?poi=126430571
安庆 迎江区 中影皖宜影院（安庆宜影影城） https://maoyan.com/cinema/9884?poi=5985061
安庆 迎江区 恒大影城 https://maoyan.com/cinema/14665?poi=50274942
安庆 迎江区 星美国际影商城（环艺店） https://maoyan.com/cinema/689?poi=1550064
安庆 迎江区 星美国际影商城（麦迪逊店） https://maoyan.com/cinema/688?poi=1438920
安庆 大观区 长江3D影城 https://maoyan.com/cinema/691?poi=1550021
安庆 大观区 安庆比高电影城（华茂店） https://maoyan.com/cinema/8329?poi=5635629
安庆 大观区 横店电影城（汇峰广场店） https://maoyan.com/cinema/12964?poi=6530616
安庆 大观区 SFC上影百联影城（安庆IMAX店） https://maoyan.com/cinema/24270?poi=163984486
安庆 大观区 大地影院（安庆八佰伴店） https://maoyan.com/cinema/16712?poi=126605592
安庆 宜秀区 凯旋时代影城 https://maoyan.com/cinema/15477?poi=95788003
安庆 宜秀区 安庆比高电影城（七街店） https://maoyan.com/cinema/25560?poi=179691794
安庆 宜秀区 时代国际影城（安庆宜秀区店） https://maoyan.com/cinema/16829?poi=150308447
安庆 桐城市 横店电影城（梧桐国际广场店） https://maoyan.com/cinema/17037?poi=150681355
安庆 桐城市 中业国际影城 https://maoyan.com/cinema/5887?poi=2462523
安庆 怀宁县 中影皖宜影院（怀宁皖影影城） https://maoyan.com/cinema/686?poi=1550059
安庆 怀宁县 幸福蓝海时代影城（德辰时代广场） https://maoyan.com/cinema/26700?poi=191296529
安庆 潜山市 潜山县舒台影城 https://maoyan.com/cinema/7625?poi=5531959
安庆 潜山市 潜山县星光影城 https://maoyan.com/cinema/24304?poi=164203396
安庆 宿松县 浙商3D影院（宿松县店） https://maoyan.com/cinema/5925?poi=2466250
安庆 宿松县 宿松县东方时代国际影城 https://maoyan.com/cinema/23836?poi=159809463
安庆 太湖县 花亭湖国际影城 https://maoyan.com/cinema/7609?poi=4808290
安庆 望江县 时代国际影城（望江回龙西路店） https://maoyan.com/cinema/11566?poi=40990727
安庆 岳西县 中影天鹅国际影城 https://maoyan.com/cinema/12358?poi=42204563
安阳 北关区 安阳恒大嘉凯影城 https://maoyan.com/cinema/16677?poi=139088533
安阳 北关区 工人文化宫数字3D影城 https://maoyan.com/cinema/684?poi=1438916
安阳 北关区 奥斯卡榕森国际影城（北关店） https://maoyan.com/cinema/685?poi=1438917
安阳 北关区 比高影城（万意店） https://maoyan.com/cinema/26965?poi=191827049
安阳 林州市 嘉和横店影城（林州义乌店） https://maoyan.com/cinema/12267?poi=40790033
安阳 林州市 奥斯卡开元影城 https://maoyan.com/cinema/2142?poi=1564133
安阳 林州市 好莱坞国际影城（京新购物广场店） https://maoyan.com/cinema/16307?poi=81541907
安阳 林州市 横店电影城（林州店） https://maoyan.com/cinema/25585?poi=179979353
安阳 文峰区 横店电影城（义乌商贸城店） https://maoyan.com/cinema/6368?poi=3246947
安阳 文峰区 万达IMAX国际影城（万达广场店） https://maoyan.com/cinema/13234?poi=42819098
安阳 文峰区 横店电影城（华强店） https://maoyan.com/cinema/16085?poi=81334810
安阳 龙安区 奥斯卡榕森国际影城（殷都店） https://maoyan.com/cinema/681?poi=1438913
安阳 龙安区 奥斯卡激光巨幕影城（中州路熙城都会店） https://maoyan.com/cinema/26764?poi=191363134
安阳 汤阴县 奥斯卡华星国际影城 https://maoyan.com/cinema/2538?poi=1542514
安阳 汤阴县 汤阴奥斯卡香江国际影城 https://maoyan.com/cinema/15863?poi=96714991
安阳 滑县 中影滑县银河国际影城 https://maoyan.com/cinema/26430?poi=190721529
安阳 滑县 滑县奥斯卡浩创电影城 https://maoyan.com/cinema/682?poi=2198291
安阳 安阳县 安阳水冶中环国际影城 https://maoyan.com/cinema/26233?poi=189778063
安阳 内黄县 天翼奥斯卡影城 https://maoyan.com/cinema/1785?poi=1439641
阿坝 马尔康市 太平洋电影城（马尔康店） https://maoyan.com/cinema/9202?poi=5118085
阿坝 汶川县 汶川团团影城 https://maoyan.com/cinema/17326?poi=157077920
阿坝 茂县 茂县国际影城 https://maoyan.com/cinema/23895?poi=160287236
阿坝 松潘县 太平洋影城（松潘店） https://maoyan.com/cinema/16097?poi=106969116
阿坝 若尔盖县 唐克太平洋影城 https://maoyan.com/cinema/27085?poi=193391189
安顺 西秀区 大地影院（安顺中环店） https://maoyan.com/cinema/7725?poi=6684200
安顺 西秀区 文化中心电影院（电力城店） https://maoyan.com/cinema/6733?poi=3295722
安顺 西秀区 上影英明影城（万绿城店） https://maoyan.com/cinema/26581?poi=191181586
安顺 西秀区 安顺聚光星影城 https://maoyan.com/cinema/16223?poi=116535939
安顺 西秀区 环宇电影城 https://maoyan.com/cinema/1782?poi=1439638
安顺 西秀区 安顺电影城（中华西路店） https://maoyan.com/cinema/1781?poi=1439637
安顺 西秀区 星美国际影商城 https://maoyan.com/cinema/13592?poi=6253607
安顺 平坝区 东风时代影城（平坝店） https://maoyan.com/cinema/23881?poi=160237424
安顺 平坝区 星空激光影城（平坝店） https://maoyan.com/cinema/15931?poi=90018260
安顺 平坝区 环球影城（平坝店） https://maoyan.com/cinema/25210?poi=169093584
安顺 普定县 普定凯旋星空影城 https://maoyan.com/cinema/14008?poi=41352560
安顺 普定县 骅一影城 https://maoyan.com/cinema/23675?poi=159075176
安顺 镇宁县 星空翡翠国际影城 https://maoyan.com/cinema/13892?poi=68310218
安顺 镇宁县 芒果长浩影城（镇宁店） https://maoyan.com/cinema/13968?poi=68142557
安顺 关岭县 星空关岭影城 https://maoyan.com/cinema/14035?poi=75746841
安顺 紫云县 星空影城 https://maoyan.com/cinema/14008?poi=41352560
安康 汉滨区 首映国际影城（安康天一城市广场店） https://maoyan.com/cinema/23637?poi=158866975
安康 汉滨区 新威尼斯国际影城（金州路南方新世纪店） https://maoyan.com/cinema/1783?poi=1439639
安康 汉滨区 大地影院（安康金客隆店） https://maoyan.com/cinema/7098?poi=5697860
安康 汉滨区 星美国际影商城（安康店） https://maoyan.com/cinema/13728?poi=51905311
安康 汉滨区 美莎国际影城（解放路店） https://maoyan.com/cinema/8674?poi=4568506
安康 汉滨区 佰纳国际影城（安康大千印象城店） https://maoyan.com/cinema/24218?poi=163430777
安康 汉滨区 时光影城（恒口店） https://maoyan.com/cinema/16033?poi=81765571
安康 汉滨区 安康影剧院 https://maoyan.com/cinema/16056?poi=107348376
安康 汉阴县 华夏国际影城（汉阴店） https://maoyan.com/cinema/12834?poi=40980411
安康 汉阴县 横店电影城（汉阴店） https://maoyan.com/cinema/25487?poi=178940951
安康 旬阳县 美莎国际影城（旬阳店） https://maoyan.com/cinema/15442?poi=90130273
安康 旬阳县 艾尚国际影城 https://maoyan.com/cinema/15580?poi=88148657
安康 石泉县 星光国际影城 https://maoyan.com/cinema/15568?poi=84059539
安康 宁陕县 环易数码电影院 https://maoyan.com/cinema/12698?poi=42172781
安康 紫阳县 佰纳影城（紫阳店） https://maoyan.com/cinema/15315?poi=96742189
安康 岚皋县 岚皋县文化影城 https://maoyan.com/cinema/26413?poi=190636712
安康 镇坪县 汇丰国际影城 https://maoyan.com/cinema/25331?poi=175305636
安康 白河县 艺城影城 https://maoyan.com/cinema/26018?poi=187920496
阿勒泰 阿勒泰市 东方好莱坞影城 https://maoyan.com/cinema/25410?poi=72389445
阿勒泰 阿勒泰市 北屯影剧院 https://maoyan.com/cinema/13477?poi=50054049
阿勒泰 阿勒泰市 阿勒腾影院 https://maoyan.com/cinema/13327?poi=5111608
阿勒泰 北屯市 北屯迅豪国际影视城 https://maoyan.com/cinema/13488?poi=50887917
阿克苏 阿克苏市 中数国际影城太百店 https://maoyan.com/cinema/5897?poi=2462549
阿克苏 阿克苏市 花朵朵影城 https://maoyan.com/cinema/26094?poi=189001395
阿克苏 阿克苏市 盛威国际影城 https://maoyan.com/cinema/8666?poi=6990452
阿克苏 阿克苏市 文化艺术中心数字影城（西大街店） https://maoyan.com/cinema/7683?poi=4344117
阿克苏 乌什县 燕山影院 https://maoyan.com/cinema/16016?poi=95107289
阿克苏 温宿县 天虹影院 https://maoyan.com/cinema/17236?poi=153733084
安吉 递铺镇 神画九州大地影城 https://maoyan.com/cinema/13004?poi=42761241
安吉 递铺镇 星世界影城 https://maoyan.com/cinema/14587?poi=41072969
安吉 递铺镇 美颂橙天影城 https://maoyan.com/cinema/24199?poi=163285805
安吉 孝丰镇 大地美伦影城（孝丰店） https://maoyan.com/cinema/17203?poi=152689985
安丘 泰华 安丘齐纳国际影城（全激光巨幕影城） https://maoyan.com/cinema/12341?poi=40714117
安岳 柠都新城 万达影城（中央时代广场店） https://maoyan.com/cinema/25767?poi=183989152
安岳 柠都新城 ACTO梦空间影城 https://maoyan.com/cinema/5984?poi=2477656
安平 安平县中心城区 影像时刻平安影城 https://maoyan.com/cinema/2318?poi=1500281
安平 安平县中心城区 影像时刻平安国际影城 https://maoyan.com/cinema/16935?poi=150566239
安宁 伊皇购物中心 时光影城（安宁店） https://maoyan.com/cinema/24835?poi=165414635
安宁 昆钢 昆钢3d影院 https://maoyan.com/cinema/23611?poi=156668961
安宁 大屯西路 横店电影城（金色时代广场店） https://maoyan.com/cinema/5550?poi=2410862
安宁 安宁大学城 文丰影城 https://maoyan.com/cinema/12760?poi=40576791
安溪 宝龙城市广场 金逸影城（安溪宝龙店） https://maoyan.com/cinema/2248?poi=1489673
安溪 海峡茗城 安溪大地茗城影院 https://maoyan.com/cinema/14576?poi=89290827
安化 资江大桥 天基影城 https://maoyan.com/cinema/13475?poi=50254393
安化 迎春路 安化电影院巨幕影城 https://maoyan.com/cinema/15377?poi=96378921
阿勒泰市 华丽商场 北屯影剧院 https://maoyan.com/cinema/13477?poi=50054049
阿勒泰市 华丽商场 阿勒腾影院 https://maoyan.com/cinema/13327?poi=5111608
